"id","bumd_id","no_akun","nama_akun","tahun_2020","tahun_2021","tahun_2022","tahun_2023","tahun_2024","created_at","updated_at"
40,8,10,Dividen Bagian Pemprov DKI Jakarta,0,0,0,0,0,,
41,8,1,Aset,0,0,0,0,0,,
42,8,2,Liabilitas,0,0,0,0,0,,
43,8,3,Ekuitas,0,0,0,0,0,,
44,8,4,Pendapatan Usaha,0,0,0,0,0,,
45,8,5,Beban Pokok Pendapatan,0,0,0,0,0,,
46,8,6,Laba Kotor,0,0,0,0,0,,
47,8,7,Beban Usaha,0,0,0,0,0,,
48,8,8,Laba Usaha,0,0,0,0,0,,
49,8,9,Laba Tahun Berjalan,0,0,0,0,0,,
50,8,10,Dividen Bagian Pemprov DKI Jakarta,0,0,0,0,0,,
51,8,1,Aset,10000000,11,0,87,87,,
52,8,2,Liabilitas,87,989,89,898,908,,
53,8,3,Ekuitas,8,980,98,8,9,,
54,8,4,Pendapatan Usaha,897,86,5,787,0,,
55,8,5,Beban Pokok Pendapatan,0,65,90,76,0,,
56,8,6,Laba Kotor,876,7898,765,68,8,,
57,8,7,Beban Usaha,8,876,68,76,78,,
58,8,8,Laba Usaha,76,8,6,8,6,,
59,8,9,Laba Tahun Berjalan,88,5,7656,6,8,,
60,8,10,Dividen Bagian Pemprov DKI Jakarta,8,76,0,9086,9,,
61,1,1,Aset,2250156541,2487795923,3308496129,4824459608,5470116984,,
62,1,2,Liabilitas,1147329655,1137347726,1217034842,1374914683,1402908252,,
63,1,3,Ekuitas,1102826885,1350448197,2091461287,3449544926,4067208731,,
64,1,4,Pendapatan Usaha,2711013945,2671973555,2761840793,2943015877,2973926648,,
65,1,5,Beban Pokok Pendapatan,2558832386,2479445776,2564748698,1762373085,1245292999,,
66,1,6,Laba Kotor,152181559,192527779,197092095,1180642792,1728633649,,
67,1,7,Beban Usaha,130611938,136107751,198174419,900973930,937772855,,
68,1,8,Laba Usaha,21519621,56420028,1082324,279668862,790860794,,
69,1,9,Laba Tahun Berjalan,143881841,151367133,335451247,1247359475,735414792,,
