title,keterangan,akses,filename,original_filename
"Peraturan Gubernur Nomor 95 Tahun 2018","Penyadiaan Taman Penitipan Anak dan Pojok Baca di Area Pasar",publik,rtxar/FA6Yw502EcyDSTKJ.pdf,"Pergub Nomor 95 Tahun 2018.pdf"
"Peraturan Gubernur Nomor 51 Tahun 2019","Penyediaan Rumah Bagi Masyarakat Berpenghasilan Rendah",publik,rtxar/ydC56HXO0D8BG4IL.pdf,"Pergub Nomor 51 Tahun 2019.pdf"
"Peratura Gubernur Nomor 41 Tahun 2014","Pengembangan Kawasan Sentra Primer Tanah Abang di Kelurahan Kampung Bali dan Kelurahan Kebon Kacang, Kecamatan Tanah Abang, Kota Administrasi Jakarta Pusat",publik,rtxar/Exsfd0XBNcqD9grA.pdf,"Pergub Nomor 41 Tahun 2014.pdf"
"Peraturan Gubernur Nomor 134 Tahun 2019","Pengelolaan Alat Produksi Perseroan Terbatas Jakarta Tourisindo",publik,rtxar/iMuCEN1YcF245AaS.pdf,"Pergub Nomor 134 Tahun 2019.pdf"
"Peraturan Gubernur Nomor 70 Tahun 2020","Penyelenggaraan Sarana Jaringan Utilitas Terpadu",publik,rtxar/1S0FsIaV4KvXtBkP.pdf,"Pergub Nomor 70 Tahun 2020.pdf"
"Peraturan Gubernur Nomor 71 Tahun 2020","Penyelenggaraan Fasilitas Pengolahan Sampah Antara di Dalam Kota",publik,rtxar/5toTjcIgEshLm7Pr.pdf,"Pergub Nomor 71 Tahun 2020.pdf"
"Keputusan Gubernur Nomor 762 Tahun 2020","Penyelenggaraan Sarana Jaringan Utilitas Terpadu dan Fasilitas Pengolahan Sampah Antara di dalam Kota",publik,rtxar/5RKjva47neBgpcbz.pdf,"Kepgub Nomor 762 Tahun 2020.pdf"
"Peraturan Gubernur Nomor 140 Tahun 2016","Penyediaan Beras bagi Pegawai Negeri Sipil Pemprov DKI Jakarta",publik,rtxar/Oyih9QPTqebCx5lL.pdf,"Pergub Nomor 140 Tahun 2016.pdf"
"Peraturan Gubernur Nomor 53 Tahun 2017","Sebagaimana telah diubah dengan Pergub Nomor 29 tahun 2020 tentang Penyelenggaraan Prasarana dan Sarana Mass Rapid Transit",publik,rtxar/3ILoEBTekXKvG9Vj.pdf,"Pergub Nomor 53 Tahun 2017.pdf"
"Peraturan Gubernur Nomor 140 Tahun 2017","Sebagaimana telah diubah dengan Pergub Nomor 15 tahun 2020 tentang Operator Utama Pengelola Kawasan Transit Oriented Development Koridor (Utara - Selatan) Fase I Mass Rapid Transit Jakarta",publik,rtxar/tpbxCU6QGqvzVD4e.pdf,"Pergub Nomor 140 Tahun 2017.pdf"
"Peraturan Gubernur Nomor 136 Tahun 2019","Pelaksanaan Kerja Sama dengan Perseroan Terbatas Kereta Api Indonesia (Persero) dalam Pengintegrasian Perkeretaapian Umum",publik,rtxar/yI5hoJ0mVvicYQTM.pdf,"Pergub Nomor 136 Tahun 2019.pdf"
"Peraturan Gubernur Nomor 63 Tahun 2020","Penyelenggaraan Sistem Integrasi Pembayaran Antar Moda Transportasi",publik,rtxar/oOXx3Pj8ulbtLvqE.pdf,"Pergub Nomor 63 Tahun 2020.pdf"
"Keputusan Gubernur Nomor 2348 Tahun 2015","Pengintegrasian Sistem Angkutan Umum Pengumpan dengan Mobil Bus Sedang ke dalam Sistem Bus Rapid Transit",publik,rtxar/YlBxzLcdQMX2I3Db.pdf,"Kepgub Nomor 2348 Tahun 2015.pdf"
"Pergub Nomor 160 Tahun 2016","Telah beberapa kali diubah terakhir dengan Pergub Nomor 133 Tahun 2018 tentang Pengoperasian Pelayanan Transjakarta Gratis dan Bus Gratis bagi Masyarakat",publik,rtxar/M2Iuo8QVFf9OeY5K.pdf,"Pergub Nomor 160 Tahun 2016.pdf"
"Peratura n Gubernur Nomor 20 Tahun 2019","Penyelenggaraan Sistem Integrasi Pembayaran Antar Moda Transportasi",publik,rtxar/J37EBcfmXMA6rWgK.pdf,"Pergub Nomor 20 Tahun 2019.pdf"
